:START_ID(r),:END_ID(c)
025259660,aa007981-5961-3854-9eda-ef7b3f8f3fab
025259679,ef91261c-f871-3b03-8981-2615edb322a0
025259679,f6193f30-34d2-3467-9c59-923baf5a090f
025259725,c0cdd82c-e092-3012-a7bd-d88a8bfbb1f4
025259725,112d75b7-011b-38cd-8e20-832ab6afda42
025259830,c2a9044e-ed71-3cf5-b41c-a077956eb1ce
025259849,392e8183-6004-3fd5-8253-2771967fa493
025259857,9943e5cb-6734-392f-ab65-dbba36596dbf
025259857,3d8bfc9a-e1ff-3224-851c-ec3c74c77eb1
025259881,83dc9d09-737e-3e15-b54c-830edd3e5773
025259881,3ed39ded-4f61-3058-8c3b-aad5872ea406
025259938,0ffe0647-a17d-34f6-ae5e-6d242e98b5c2
025259970,b9724834-3739-32b7-b9ee-597461f41de0
025260073,2fe59ddf-841b-3888-b386-7caf6a3d7501
025260111,271c91d0-2f8c-314d-af66-c4e41c536c8c
025260138,40c41451-7425-3ad5-acd1-283df8ab55a4
025260138,80b4cd33-23dc-3b8b-8cd1-9aa4c5b91e1f
025260197,61d03eba-02c1-3744-b5ca-2d1b4315ef0f
025260197,f2bc5ad2-ecb2-3d55-ba03-5b2362e8a010
025260235,fb704c9c-e37f-3692-b837-4956fab56139
025260278,58eee273-9a77-371f-b273-d85eb777cc54
025260278,2dbf5f18-e876-39f1-8ba8-9840328fe500
025260316,859bc010-d6b2-3945-b9ea-d594607f4c61
025260324,5f777d0d-729d-38f9-bfa6-c92c5375b6bb
025260340,386ab796-3794-3cca-9972-fccbe39665dc
025260383,28722d54-87e8-3713-af5b-c89b511146de
025260405,f24fb3bd-5943-38cb-8cdd-0a6988723216
025260405,bd9c0072-6dd3-3b90-abd7-bd8ef7bfeedc
02526043X,61d03eba-02c1-3744-b5ca-2d1b4315ef0f
02526043X,5413a383-c4db-3304-b9bb-cd62026d588c
025260510,f385c3a5-0704-3e22-a1e9-294f1d8c6b4a
025260529,c3300649-3631-377e-8f59-0493f19d59ee
025260553,5e4695a6-d6f3-32ea-8a5d-b3734358f24e
025260553,023f9dc9-0bd6-3ec3-b69d-5347c69cce84
025260723,be6d3ed5-24d2-33cb-9851-fe033128c575
025260731,18474612-1faf-367e-8b8c-01aeab7c084b
025260774,098d84af-ea5d-3c04-bca2-c7aca5f02a60
025260855,fd5d6a3b-49df-38b1-9e67-698abfc30d45
025260855,6673ab75-2147-3b78-9e74-cde5df4a7d6e
025260898,cfa31b68-929f-39fd-abbe-1c3af16d3034
025260898,86057ed9-a8f1-347f-b49b-6cb989e565d2
025260898,44323c6b-4757-384c-9e8b-bf6a2b0d7e34
025260995,b1bc9353-45b3-3ab7-9f92-890f87eb3514
025261002,a06a80ae-d23e-3cf1-a758-cbbf1cc5b64a
025261002,b4585bc4-5636-3e11-82e8-7c5fc8cb09ea
025261002,d056f2e0-199a-3d72-abbe-48df98c95aa2
025261002,cdb6ef66-59ac-3732-a6a8-d6c6fdce045e
025261002,ea309291-6257-38f0-9a21-880cd6b1a3a4
025261002,03cd2b40-ccfd-3269-90e7-90fc458ffb28
02526107X,3553fbfa-e05d-3dea-9217-86fe4ffc733f
02526107X,90038c9d-181e-34b6-ad32-c11ba0c0b89b
025261088,03ab7903-ac2a-334f-bad7-39a4618220ec
025261096,c32aca35-c5e2-376f-86eb-8e31d159b724
025261134,3b8c14c2-d762-329b-9996-0fa5b98c613a
025261258,bf2e6dd7-c4e3-3015-a2a0-d2fca5784247
025261304,3b4d9962-a24b-37ae-a583-1c694ae748cd
025261304,7c46cab1-6409-3523-ac90-4fe488af9a7e
02526138X,df73a05f-29bc-361a-933f-7e81fdf81326
02526138X,c2049be0-6fd9-33c2-ba38-98a62d2fbfd1
025261428,d13df596-9a63-3fb8-9d8a-e7dd9e46c71b
025261428,64a0aa1b-d716-3ec9-9f7b-772d7da3312e
025261436,a64d3596-27f6-3036-8589-af2c390ff7df
025261436,e3917904-af7b-39bb-b65c-58ba0799057e
025261495,5c80cff1-883f-3be9-87db-2ba1730aa424
025261495,e36409e9-f836-39f9-bf92-8dd97b01292b
025261509,5b8cfdcd-f2f6-3421-acdb-9ba8dce19835
025261509,a9dd65a2-4750-358f-a0c5-b8d2465e540e
025261568,772f697d-1177-3b64-b3f0-ce8b03976c0d
025261576,1320216e-a9cf-385e-929f-246765283851
025261576,51abfc8c-1639-3d42-93aa-02168506be48
025261606,7ddf7bb7-9474-3ed2-a036-de5a70d05fa2
02526169X,1e034379-fea2-34a2-ab00-68691f508f3b
025261789,389a8fc6-1032-3e75-94eb-f9738df65344
025261789,678f79ab-0369-38a4-94b5-937c8d231c35
025261819,5f8acc25-7d05-38bf-8dfb-6f02495d1877
025261819,07e8bc5c-0264-3cc9-9afc-c52a29f94b8e
025261827,16902608-1b5c-36c0-8aaf-e27a7ac4d91f
025261827,e15ff2a0-9bc6-3d08-87ef-80a42790c53d
