"00000006X","949"," "," ","5","Benutzung Sonderlesesaal"
"00000006X","leader","","","","cam a22     4  4500""
"000000078","001","","","","000000078""
"000000078","003","","","","CHVBK""
"000000078","005","","","","20140814164102.0""
"000000078","008","","","","061218s1997    gw            00    ger""
"000000078","020"," "," ","a","3-9805621-2-3"
"000000078","035"," "," ","a","(OCoLC)164788407"
"000000078","035"," "," ","a","(ABN)000300048"
"000000078","040"," "," ","a","CH-AaAKB"
"000000078","245","0","0","a","Kaiser Ludwig der Bayer 1282-1347"
"000000078","245","0","0","b","Katalog zur Ausstellung im Stadtmuseum Fürstenfeldbruck, 25. Juli bis 12. Oktober 1997"
"000000078","245","0","0","c","hrsg. von Angelika Mundorff ... [et al.]"
"000000078","260"," "," ","a","Fürstenfeldbruck"
"000000078","260"," "," ","b","Stadtmuseum"
"000000078","260"," "," ","c","1997"
"000000078","300"," "," ","a","227 S"
"000000078","300"," "," ","b","Ill"
"000000078","500"," "," ","a","Ausstellung (Fürstenfeldbruck ; Stadtmuseum ; 1997)"
"000000078","690"," ","7","B","u"
"000000078","690"," ","7","a","Ludwig <Römisch-Deutsches Reich, Kaiser, IV.>"
"000000078","690"," ","7","2","abn YA"
"000000078","690"," ","7","B","u"
"000000078","690"," ","7","a","Ausstellungskatalog"
"000000078","690"," ","7","2","abn YA"
"000000078","700","1"," ","a","Mundorff"
"000000078","700","1"," ","D","Angelika"
"000000078","913"," "," ","a","Ausstellung = Exposition"
"000000078","913"," "," ","b","1997"
"000000078","913"," "," ","c","Fürstenfeldbruck"
"000000078","950"," "," ","B","ABN"
"000000078","950"," "," ","P","700"
"000000078","950"," "," ","E","1-"
"000000078","950"," "," ","a","Mundorff"
"000000078","950"," "," ","D","Angelika"
"000000078","898"," "," ","a","BK020000"
"000000078","898"," "," ","b","XK020000"
"000000078","898"," "," ","c","XK020000"
"000000078","949"," "," ","B","ABN"
"000000078","949"," "," ","C","ABN51"
"000000078","949"," "," ","D","ABN01"
"000000078","949"," "," ","E","000300048"
"000000078","949"," "," ","F","HMA"
"000000078","949"," "," ","b","HMA"
"000000078","949"," "," ","c","HMAPR"
"000000078","949"," "," ","j","HMA AUS FUER STAD"
"000000078","949"," "," ","p","300048-10"
"000000078","949"," "," ","q","000300048"
"000000078","949"," "," ","r","000010"
"000000078","949"," "," ","0","Historisches Museum Aargau"
"000000078","949"," "," ","1","Praesenzbibliothek"
"000000078","949"," "," ","3","BOOK"
"000000078","949"," "," ","4","21"
"000000078","949"," "," ","5","nicht ausleihbar"
"000000078","leader","","","","cam a22     7  4500""
"000000094","001","","","","000000094""
"000000094","003","","","","CHVBK""
"000000094","005","","","","20140814164110.0""
"000000094","008","","","","061218s2004    gw            00    ger""
"000000094","020"," "," ","a","3-12-927029-9"
"000000094","035"," "," ","a","(OCoLC)76484429"
"000000094","035"," "," ","a","(ABN)000300074"
"000000094","040"," "," ","a","CH-AaAKB"
"000000094","100","1"," ","a","Bergmann"
"000000094","100","1"," ","D","Hans"
"000000094","245","1","0","a","Training Mathematik"
"000000094","245","1","0","p","8. Schuljahr"
"000000094","245","1","0","b","Termumformungen, Lineare Funktionen und Gleichungen, Dreiecke, Flächeninhalte"
